time/fps,time/iterations,train/reward,time/time_elapsed,time/total_timesteps,train/value_loss,train/n_updates,train/explained_variance,train/std,train/clip_range,train/entropy_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/loss,train/policy_gradient_loss
89,1,2.1639192,22,2048,,,,,,,,,,,
88,2,1.2910886,46,4096,12.976756298542023,10,0.0015811324119567871,1.0029034614562988,0.2,-41.19910814762115,0.22001953125,0.0003,0.016143683,4.767674446105957,-0.016173949680523946
92,3,1.8761935,66,6144,47.85770505666733,20,-0.005202889442443848,1.0059175491333008,0.2,-41.26950740814209,0.20244140625,0.0003,0.017062709,25.43108558654785,-0.020654816803289577
94,4,0.3502647,86,8192,71.76072064638137,30,-0.002941727638244629,1.0076311826705933,0.2,-41.339760422706604,0.178662109375,0.0003,0.016847797,16.57286834716797,-0.011701414251001551
95,5,2.1473467,107,10240,42.29009607434273,40,-0.028088808059692383,1.0086102485656738,0.2,-41.38534424304962,0.158642578125,0.0003,0.016364522,13.757811546325684,-0.02191290173213929
95,6,1.6019589,128,12288,24.67525091767311,50,-0.029303431510925293,1.0117477178573608,0.2,-41.44155628681183,0.233154296875,0.0003,0.022933552,11.813873291015625,-0.018479666757048107
96,7,-0.71167624,148,14336,75.75836539268494,60,0.003312528133392334,1.0128177404403687,0.2,-41.49848296642303,0.1783203125,0.0003,0.019321067,48.5665168762207,-0.021061576559441166
96,8,0.19541438,169,16384,53.63274097442627,70,-0.001046299934387207,1.0139929056167603,0.2,-41.535692834854125,0.190234375,0.0003,0.018811379,32.90933609008789,-0.020536249811993913
97,9,0.34012124,189,18432,38.71499112844467,80,-0.010218143463134766,1.0157759189605713,0.2,-41.573062491416934,0.1853515625,0.0003,0.018045926,14.113446235656738,-0.021756165658007375
97,10,0.28634816,210,20480,83.44517996311188,90,0.0016980767250061035,1.0175318717956543,0.2,-41.62159798145294,0.256640625,0.0003,0.023419134,41.25043487548828,-0.01647372019069735
97,11,-2.2074673,229,22528,20.486043947935105,100,0.01318967342376709,1.0195155143737793,0.2,-41.67438452243805,0.239208984375,0.0003,0.022010254,13.158594131469727,-0.022348704934120178
98,12,1.9432139,250,24576,69.24730559587479,110,0.009760022163391113,1.0235552787780762,0.2,-41.759753942489624,0.2818359375,0.0003,0.02567539,29.776430130004883,-0.022331926552578808
98,13,-0.2938406,271,26624,100.26945781707764,120,0.004677712917327881,1.0250746011734009,0.2,-41.84002599716187,0.2974609375,0.0003,0.025226898,55.03404998779297,-0.01601256979047321
98,14,1.2856148,291,28672,64.3704181432724,130,0.014765441417694092,1.02721107006073,0.2,-41.89812867641449,0.3029296875,0.0003,0.032064028,14.987841606140137,-0.01892845662368927
